titulo,autor,género,puntuación
Cien años de soledad, Gabriel García Márquez, Ficcion, 4.5
1984,George Orwell,Ciencia Ficción, 4.3
El Hobbit,J.R.R. Tolkien, Fantasía,4.7
Orgullo y Prejuicio,Jane Austen,Romance,4.2
Crimen y Castigo,Fiódor Dostoyevski,Clásico,4.4
Los Juegos del Hambre,Suzanne Collins,Juvenil,4.1
Don Quijote de la Mancha,Miguel de Cervantes, Clásico,4.6
Harry Potter y la Piedra Filosofal,J.K. Rowling,Fantasía,4.8
Harry Potter y la Orden del fenix,J.K. Rowling,Fantasía,4.1
Los Pilares de la Tierra,Ken Follett,Historia,4.4
Manual del guerrero de la luz,Paulo Coelho,Autoayuda,4.3
Habitos Atomicos,Jame Clear,Autoayuda,4.5
Cazadores de Sombras: Ciudad de Hueso,Cassandra Clare,Fantasía,4.0
El Arte de la Guerra,Sun Tzu,Estrategia,4.6
Hamlet,William Shakespeare,Clásico,4.3
La Divina Comedia,Dante Alighieri,Clásico,4.5
Maldito Karma,David Safier,Comedia,4.3
Corazón Delator,Edgar Allan Poe,Terror,4.6
Drácula,Bram Stoker,Terror,4.7
